,title,publication_date
25,Towards a simultaneously speaking bilingual robot: Primary study on the effect of gender and pitch of the robot's voice.,2022-12-29
26,[Not Available].,2022-12-28
27,Native and non-native language contexts differently modulate mood-driven electrodermal activity.,2022-12-27
28,SmartMoms Canada: An evaluation of a mobile app intervention to support a healthy pregnancy.,2022-12-27
29,Risk Communication in Early Containment of COVID-19 Pandemic in Iran: Implementation of the World Health Organization Strategic Preparedness and Response Plan (WHO-SPRP).,2022-12-27
30,"CAT HPPR: a critical appraisal tool to assess the quality of systematic, rapid, and scoping reviews investigating interventions in health promotion and prevention.",2022-12-26
31,"Translation, Cross-Cultural Adaptation And Validation Of Polycystic Ovarian Syndrome Quality Of Life Scale In Pashto.",2022-12-26
32,Neural similarities and differences between native and second languages in the bilateral fusiform cortex in Chinese-English bilinguals.,2022-12-25
33,Continuous Glucose Monitoring Plus an Online Peer Support Community Reinforces Healthy Behaviors in Hispanic Adults With Type 2 Diabetes.,2022-12-24
34,Development of a Prototype for a Bilingual Patient-Reported Outcome Measure of the Important Health Aspects of Quality of Life in People Living with HIV: The Preference Based HIV Index (PB-HIV).,2022-12-24
35,The Mental Lexicon Features of the Hakka-Mandarin Dialect Bilingual.,2022-12-24
36,Explaining L2 Lexical Learning in Multiple Scenarios: Cross-Situational Word Learning in L1 Mandarin L2 English Speakers.,2022-12-24
37,Cross-Cultural Validation of the Chinese Version of the Health Promoting Activities Scale.,2022-12-23
38,Recognizing non-native spoken words in background noise increases interference from the native language.,2022-12-22
39,Exploring cancer care needs for Latinx adults: a qualitative evaluation.,2022-12-22
40,Latino toddlers' bilingual output and their caregivers' bilingual input and acculturation.,2022-12-22
41,Overcoming barriers and enhancing facilitators to COVID-19 vaccination in the Hispanic community.,2022-12-21
42,The Language Diversity and Science Readiness Skills of Latino Preschoolers.,2022-12-21
43,The Effect of Speech Perception in Noise on Arabic and Spanish Bilingual Listeners.,2022-12-21
44,Alzheimer's Disease in Bilingual Latinos: Clinical Decisions for Diagnosis and Treatment Planning.,2022-12-21
45,Community Health Workers as Puentes/Bridges to Increase COVID-19 Health Equity in Latinx Communities of the Southwest U.S.,2022-12-20
46,"COVID-19 related uncertainty: Fertility staff experiences of its sources, processing, responses, and consequences.",2022-12-20
47,Involvement of the sensorimotor system in less advanced L2 processing: Evidence from a semantic category decision task.,2022-12-20
48,Co-learner presence and praise alters the effects of learner-generated explanation on learning from video lectures.,2022-12-20
49,"Development of a multi-component tobacco cessation training package utilizing multiple approaches of intervention development for health care providers and patients attending non-communicable disease clinics of Punjab, India.",2022-12-20
50,Developmental trajectories of Korean and heritage language proficiencies and their association with maladjustment among Korean multicultural adolescents.,2022-12-19
51,Validity and reliability of the Danish version of QUALIDEM.,2022-12-17
52,Adolescent Experiences with Social Media and Suicidality.,2022-12-15
53,Language-specific phonological skills and the relationship with reading accuracy in Sylheti-English sequential bilinguals.,2022-12-15
54,"Harnessing automatic speech recognition to realise Sustainable Development Goals 3, 9, and 17 through interdisciplinary partnerships for children with communication disability.",2022-12-14
55,Exploring the consequences of food insecurity and harnessing the power of peer navigation and mHealth to reduce food insecurity and cardiometabolic comorbidities among persons with HIV: protocol for development and implementation trial of weCare/Secure.,2022-12-13
56,Consideration of culture in cognition: How we can enrich methodology and theory.,2022-12-13
57,Moving away from deficiency models: Gradiency in bilingual speech categorization.,2022-12-13
58,Reading comprehension and strategy use: Comparing bilingual children to their monolingual peers and to bilingual adults.,2022-12-13
59,Comparing product quality between translation and paraphrasing: Using NLP-assisted evaluation frameworks.,2022-12-13
60,Identifying the risk of dyslexia in bilingual children: The potential of language-dependent and language-independent tasks.,2022-12-13
61,How does bilingual experience influence novel word learning? Evidence from comparing L1-L3 and L2-L3 cognate status.,2022-12-13
62,Studying hemispheric lateralization of 4-month-old infants from different language groups through near-infrared spectroscopy-based connectivity.,2022-12-13
63,Design and implementation of a health messaging protocol employed for use within a COVID-19 health dissemination platform.,2022-12-13
64,Internal and external factors contributing to variability in consonant accuracy of Arabic-French simultaneous bilingual children.,2022-12-13
65,Connecting perception and production in early Catalan-Spanish bilingual children: language dominance and quality of input effects.,2022-12-13
66,Agency in change: Learning experiences of international midwifery students in South Australia.,2022-12-10
67,"Collateral positives of COVID-19 for culturally and linguistically diverse communities in Western Sydney, Australia.",2022-12-10
68,Development of a Tool to Assess Medical Oral Language Proficiency.,2022-12-10
69,Multiple wh-interrogatives in child heritage Romanian: On-line comprehension and production.,2022-12-10
70,Cognitive Testing of PAINReportIt-Spanish in Monolingual Hispanic Adults.,2022-12-09
71,Catquest-9SF questionnaire: Validation in a Greek-speaking population using Rasch analysis.,2022-12-09
72,"Changes in Glycemic Control Following Use of a Spanish-Language, Culturally Adapted Diabetes Program: Retrospective Study.",2022-12-09
73,Health Literacy and Difficulty Accessing Information About the COVID-19 Pandemic Among Parents Who Are Deaf and Hard-of-Hearing.,2022-12-09
74,Disability and subsidized housing residency: The adverse impacts of Winter Storm Uri in metropolitan Texas.,2022-12-07
75,Is cognitive reserve associated with the prevention of cognitive decline after stroke? A Systematic review and meta-analysis.,2022-12-07
76,Caregiver Experiences With Oral Bilingualism in Children Who Are Deaf and Hard of Hearing in the United States: Impact on Child Language Proficiency.,2022-12-07
77,Disruptive Innovations to Achieve Health Equity Through Healthcare and Research Transformation.,2022-12-07
78,Stuttering Severity Judgments by Speech-Language Pathologists of Bilingual Children Who Do and Do Not Stutter.,2022-12-06
79,"Investigating the Relationship Between Linguistic Competence, Ideal Self, Learning Engagement, and Integrated Writing Performance: A Structural Equation Modeling Approach.",2022-12-03
80,Neural circuits underlying language control and modality control in bilinguals: An fMRI study.,2022-12-03
81,Equitable Implementation of Mailed Stool Test-Based Colorectal Cancer Screening and Patient Navigation in a Safety Net Health System.,2022-12-02
82,Toward Neurodiversity: How Conversation Analysis Can Contribute to a New Approach to Social Communication Assessment.,2022-12-02
83,Bilingual Language Experience and Its Effect on Conflict Adaptation in Reactive Inhibitory Control Tasks.,2022-12-02
84,Musical and multilingual experience are related to healthy aging: better some than none but even better together.,2022-12-02
85,Phonological activation improves semantic access provided by Arabic digits and number words.,2022-12-01
86,Non-professional Medical Interpreting as a Contextualized Practice: Chinese Volunteer Interpreters' Role-Spaces in Mediating Provider-Patient Conflicts Amid the Pandemic.,2022-11-30
87,Using big data to understand bilingual performance in semantic fluency: Findings from the Canadian Longitudinal Study on Aging.,2022-11-29
88,Bilingualism Affects Infant Cognition: Insights From New and Open Data.,2022-11-29
89,Impacts of the COVID-19 disruption on the language and literacy development of monolingual and heritage bilingual children in the United States.,2022-11-29
90,Gender performances on social media: A comparative study of three top key opinion leaders in China.,2022-11-29
91,Early years autism and bilingualism: An interpretative phenomenological analysis of parent perceptions during lockdown.,2022-11-29
92,Demonstrative systems: From linguistic typology to social cognition.,2022-11-28
93,Understanding (un)grammaticality in context: Evidence from young Spanish-English bilinguals over time.,2022-11-27
94,Language intervention in bilingual children with developmental language disorder: A systematic review.,2022-11-27
95,LitCovid ensemble learning for COVID-19 multi-label classification.,2022-11-26
96,Dataset from Code-switching between English and Malay Languages in Malaysian Premier Polytechnics ESL Classrooms.,2022-11-26
97,"Interpretive Diversity Understanding, Parental Practices, and Contextual Factors Involved in Primary School-age Children's Cheating and Lying Behavior.",2022-11-25
98,Childhood Cancer Information-Seeking: Findings from the National Cancer Institute's Cancer Information Service.,2022-11-23
99,Validation and cross-cultural adaptation of the postoperative quality of recovery 15 (QoR-15) questionnaire for Spanish-speaking patients: A prospective cohort study.,2022-11-23
100,"""I Use Sunglasses . . . the Sun Can Ruin the Eyes"": Latino Day Laborers' Lay Strategies to Reduce Dangers at Work.",2022-11-23
101,Supporting deaf learners in Nepal via Sustainable Development Goal 4: Inclusive and equitable quality education in sign languages.,2022-11-23
102,Serving underserved Hispanic populations: Practical strategies for pharmacy professionals.,2022-11-22
103,Validating Four Hmong Word Recognition Tests With Normal-Hearing Bilingual Hmong Individuals.,2022-11-22
104,Unpacking the root causes of gambling in the Asian community: Contesting the myth of the Asian gambling culture.,2022-11-22
105,Cultural Experience Influences Multisensory Emotion Perception in Bilinguals.,2022-11-22
106,Influence of cognitive abilities on literacy skills in a Korean-Japanese bilingual child with developmental dyslexia.,2022-11-22
107,Bilingualism and creativity: Benefits from cognitive inhibition and cognitive flexibility.,2022-11-22
108,A corpus-based study of modal verbs in Chinese-English governmental press conference interpreting.,2022-11-22
109,The home literacy environment mediates effects of socio-economic status on infant vocabulary development.,2022-11-20
110,Cultural adaptation of the savvy caregiver program for Korean Americans with limited English proficiency: a feasibility and acceptability study.,2022-11-20
111,The Effect of Phonological Overlap on English and Spanish Expressive Vocabulary.,2022-11-19
112,"Community-based bilingual doula support during labour and birth to improve migrant women's intrapartum care experiences and emotional well-being-Findings from a randomised controlled trial in Stockholm, Sweden [NCT03461640].",2022-11-19
113,Using search trends to analyze web-based users' behavior profiles connected with COVID-19 in mainland China: infodemiology study based on hot words and Baidu Index.,2022-11-18
114,Significantly different noun-verb distinguishing mechanisms in written Chinese and Chinese sign language: An event-related potential study of bilingual native signers.,2022-11-18
115,Mapping Chinese Personality: An Assessment of the Psychometric Properties of the NEO-PI-3 in Monolingual and Bilingual Studies.,2022-11-17
116,Assessment and Diagnostic Standards of Apraxia of Speech in Chinese-Speaking Adults and Children: A Scoping Review.,2022-11-16
117,'Who is telling the truth?' Migrants' experiences with COVID-19 related information in Norway: a qualitative study.,2022-11-16
118,Sensitivity to visual cues within motion events in monolingual and bilingual infants.,2022-11-15
119,Analyzing User Engagement Within a Patient-Reported Outcomes Texting Tool for Diabetes Management: Engagement Phenotype Study.,2022-11-15
120,Bilingualism can cause enhanced monitoring and occasional delayed responses in a flanker task.,2022-11-15
121,"Mexican and Puerto Rican Men's Preferences Regarding a Healthy Eating, Physical Activity and Body Image Intervention.",2022-11-12
122,Deaf Children Need Rich Language Input from the Start: Support in Advising Parents.,2022-11-12
123,The Unique Experience of a New Multidisciplinary Program for 22q Deletion and Duplication Syndromes in a Community Hospital in Florida: A Reaffirmation That Multidisciplinary Care Is Essential for Best Outcomes in These Patients.,2022-11-12
124,Risk factors and machine learning prediction models for bronchopulmonary dysplasia severity in the Chinese population.,2022-11-11
125,Social Disparities in the Duration of Power and Piped Water Outages in Texas After Winter Storm Uri.,2022-11-11
126,Musical Training Enhances Categorical Perception of Speech in Preschoolers: Training Duration and Musical Program Matter.,2022-11-10
127,"PHOR-in-One: A multilingual lexical database with PHonological, ORthographic and PHonographic word similarity estimates in four languages.",2022-11-08
128,Chinese-English bilinguals are more sensitive to environmental sound perception than Spanish-English bilinguals through top-down cognitive mechanism.,2022-11-08
129,Bilingual Development in the Receptive and Expressive Domains: They Differ.,2022-11-08
130,Dairy farm worker milking equipment training with an E-learning system.,2022-11-08
131,Les composantes de l'espoir critique dans les récits de parents Afro-Canadiens de la Nouvelle-Écosse.,2022-11-08
132,Does bilingualism come with linguistic costs? A meta-analytic review of the bilingual lexical deficit.,2022-11-04
133,Monolingual and bilingual children's production of complex syntactic structures.,2022-11-04
134,Language as a cue for social categorization in bilingual communities.,2022-11-03
135,How do Chinese-English Bilinguals and Tibetan-Chinese-English Trilinguals Differ in Explicit and Implicit Aptitude?,2022-11-01
136,Increasing adverse drug events extraction robustness on social media: Case study on negation and speculation.,2022-11-01
137,Editorial: Cognitive factors in bilingual language processing.,2022-11-01
138,Second-language phoneme learning positively relates to voice recognition abilities in the native language: Evidence from behavior and brain potentials.,2022-11-01
139,Bilingual Mandarin-English preschoolers' spoken narrative skills and contributing factors: A remote online story-retell study.,2022-11-01
140,Entropy convergence in early bilinguals' syntactic packaging.,2022-11-01
141,Diversity in bilingual child language acquisition research: A commentary on.,2022-11-01
142,Spanish Validation of Pediatric Nurses Knowledge and Attitudes Survey Regarding Pain.,2022-10-29
143,Waterloo Handedness Questionnaire: Cross-Cultural Adaptation and Psychometric Properties of the Arabic Version.,2022-10-29
144,Audio-Visual Interactions During Emotion Processing in Bicultural Bilinguals.,2022-10-28
145,Reliability and Validity of the Korean Version of the High-Performance Work System Scale (HPWS-K).,2022-10-28
146,Improving Long-Term Adherence to Monitoring/Treatment in Underserved Asian Americans with Chronic Hepatitis B (CHB) through a Multicomponent Culturally Tailored Intervention: A Randomized Controlled Trial.,2022-10-28
147,"Psycholinguistics: Analysis of Knowledge Domains on Children's Language Acquisition, Production, Comprehension, and Dissolution.",2022-10-28
148,"Is That ""Mr."" or ""Ms."" Lemon? An Investigation of Grammatical and Semantic Gender on the Perception of Household Odorants.",2022-10-28
149,Scaling-up Child and Youth Mental Health Services: Assessing Coverage of a County-Wide Prevention and Early Intervention Initiative During One Fiscal Year.,2022-10-27
150,"Arabic version of the Palliative Care Self-Efficacy Scale: Translation, adaptation, and validation.",2022-10-27
151,Nature and Effects of Autobiographical Memory Issues in Persons with Autism Spectrum Disorders.,2022-10-26
152,Stuttering related and psychosocial predictors of impact of stuttering.,2022-10-26
153,Editorial: From individual minds to language co-evolution: Psychological mechanisms for the evolution of cross-cultural and cross-species communication systems.,2022-10-25
154,Assessing language background and experiences among heritage bilinguals.,2022-10-25
155,Examining Health-Seeking Behaviors of Korean Immigrant Women.,2022-10-24
156,Audiovisual Mandarin Lexical Tone Perception in Quiet and Noisy Contexts: The Influence of Visual Cues and Speech Rate.,2022-10-22
157,Touching while listening: Does infants' haptic word processing speed predict vocabulary development?,2022-10-22
158,A text message intervention to support latino dementia family caregivers (CuidaTEXT): feasibility study.,2022-10-22
159,Meeting the bilingual learning needs of Tibetan minority students in Qinghai Province: A multiple perspective investigation into problems and solutions.,2022-10-22
160,Color naming in Tsimane'-Spanish bilinguals indicates that differential experience with content domains affects lexical access.,2022-10-20
161,Medical attention in bilingual territories.,2022-10-18
162,Adaptation of the working alliance inventory to therapeutic interventions for early-age regulatory and behavioral symptoms: French versions of the infant-toddler WAI for parents and therapists.,2022-10-18
163,Validity and reliability of the Arabic version of the revised illness perception questionnaire for patients with hypertension.,2022-10-18
164,Taking language science to zoom school: Virtual outreach to elementary school students.,2022-10-18
165,"Reference production in Mandarin-English bilingual preschoolers: Linguistic, input, and cognitive factors.",2022-10-18
166,Exploring the ventral white matter language network in bimodal and unimodal bilinguals.,2022-10-17
167,Comprehension of Prosodically and Syntactically Marked Focus in Cantonese-Speaking Children With and Without Autism Spectrum Disorder.,2022-10-17
168,Positive and negative moods differently affect creative meaning processing in both the native and non-native language.,2022-10-16
169,Orthographic influences on spoken word recognition in bilinguals are dependent on the orthographic depth of the target language not the native language.,2022-10-15
170,Acceptance of COVID-19 Vaccine Booster Doses Using the Health Belief Model: A Cross-Sectional Study in Low-Middle- and High-Income Countries of the East Mediterranean Region.,2022-10-15
171,Transcranial direct current stimulation over the primary motor cortex improves speech production in post-stroke dysarthric speakers: A randomized pilot study.,2022-10-14
172,The Generation and Realization of Dunhuang Cultural Values from the Perspective of Crosscultural Communication: Based on Spanish and Chinese Culture.,2022-10-14
173,Deaf Children's Engagement with American Sign Language-English Bilingual Storybook Apps.,2022-10-13
174,"The Influence of Bilingual Language Exposure on the Narrative, Social and Pragmatic Abilities of School-Aged Children on the Autism Spectrum.",2022-10-13
175,Infants' Use of Iconicity in the Early Periods of Sign/Spoken Word-Learning.,2022-10-13
176,"Translation norms for Malay and English words: The effects of word class, semantic variability, lexical characteristics, and language proficiency on translation.",2022-10-12
177,"One fish, uh, two fish: Effects of fluency and bilingualism on adults' novel word learning.",2022-10-11
178,Training and intrinsic evaluation of lightweight word embeddings for the clinical domain in Spanish.,2022-10-11
179,The influence of cognitive control on the processing of L2 garden path sentence among Chinese-English bilinguals.,2022-10-11
180,Design of network English autonomous learning education system based on human-computer interaction.,2022-10-11
181,"""",2022-10-11
182,Development and design of a culturally tailored intervention to address COVID-19 disparities among Oregon's Latinx communities: A community case study.,2022-10-11
183,Differences in health literacy domains among migrants and their descendants in Germany.,2022-10-11
184,French Phonological Component Analysis and aphasia recovery: A bilingual perspective on behavioral and structural data.,2022-10-11
185,Validation of an Arabic version of the Cambridge-Hopkins diagnostic questionnaire for restless legs syndrome.,2022-10-09
186,Linking churches and parks to promote physical activity among Latinos: Rationale and design of the Parishes & Parks cluster randomized trial.,2022-10-08
187,Recruitment and Data Collection Challenges of Research Focused on Older Adults and Family Caregivers from Asian American Communities: A Case Study Series.,2022-10-08
188,Modulatory effects of SES and multilinguistic experience on cognitive development: a longitudinal data analysis of multilingual and monolingual adolescents from the SCAMP cohort.,2022-10-08
189,"A curse of knowledge or a curse of uncertainty? Bilingualism, embodiment, and egocentric bias.",2022-10-08
190,Bilingualism and the executive function trade-off: A latent variable examination of behavioral and event-related brain potentials.,2022-10-07
191,Electrophysiological correlates of masked orthographic and phonological priming in Chinese-English bilinguals.,2022-10-06
192,"Outcomes From a Randomized Trial of a Bilingual mHealth Social Media Intervention to Increase Care Engagement Among Young Gay, Bisexual, and Other Men Who Have Sex With Men and Transgender Women With HIV.",2022-10-06
193,Phonological Awareness and Working Memory in Mandarin-Speaking Preschool-Aged Children With Cochlear Implants.,2022-10-05
194,The Use of Segmental and Suprasegmental Sequencing Skills to Differentiate Children With and Without Childhood Apraxia of Speech: Protocol for a Comparative Accuracy Study.,2022-10-05
195,Understanding the Role of Caseworker-Cultural Mediators in Addressing Healthcare Inequities for Patients with Limited-English Proficiency: a Qualitative Study.,2022-10-04
196,Urdu translation and validation of the international consultation on Incontinence Questionnaire-Female Lower Urinary Tract Symptoms (ICIQ-FLUTS).,2022-10-04
197,The Effect of Code-Switching Experience on the Neural Response Elicited to a Sentential Code Switch.,2022-10-04
198,An investigation of multicultural personality traits of EFL learners in English as a medium of instruction setting: The case of Saudi Arabia.,2022-10-04
199,Pediatric language assessments via telehealth: A systematic review.,2022-10-04
200,Dynamo Kids!/¡Niños Dinámicos! A Web Site for Pediatric Primary Care Providers to Offer Parents of Children 6-12 Years Old With Overweight and Obesity: Web Site Development and Protocol for Pilot Study.,2022-10-03
201,Multimodal bilinguals reveal complex pathways for flexible language processing.,2022-10-01
202,The Vision Detroit Project: Integrated Screening and Community Eye-Health Education Interventions Improve Eyecare Awareness.,2022-10-01
203,Comparison of knowledge between Italian and Spanish parents about the oral health of their preschool children.,2022-09-30
204,"Exploring mental health stigma among chinese-english bilinguals: Dual-process model of emotional competence, flipped learning readiness, and academic performance in Mainland Chinese Universities.",2022-09-30
205,"Parental Beliefs, Language Practices and Language Outcomes in Spanish-English Bilingual Children.",2022-09-30
206,"Educational Initiative about the COVID-19 Pandemic-Related Neuropsychiatry for Early Career Professionals in EU: The Impact of the Novel Virus on Brain, Mind, and Society.",2022-09-29
207,Social-Pragmatic Skills and Length of Bilingualism Predict Inhibitory Control in Children.,2022-09-29
208,Currencies of recognition: What rewards and recognition do Canadian distributed medical education preceptors value?,2022-09-29
209,Abortion services and providers in Canada in 2019: results of a national survey.,2022-09-28
210,Can Bilingual Children Self-Report Their Bilingual Experience and Proficiency? The Houston Questionnaire.,2022-09-28
211,Graph structure analysis of speech production among second language learners of Spanish and Chinese.,2022-09-27
212,The effect of simultaneous exposure on the attention selection and integration of segments and lexical tones by Urdu-Cantonese bilingual speakers.,2022-09-27
213,First language translation involvement in second language word processing.,2022-09-27
214,A comparison of monolingual and bilingual toddlers' word recognition in noise.,2022-09-27
215,Perception of temporally contrasted Japanese words by Spanish-English bilinguals and American English monolinguals.,2022-09-27
216,Validity and reliability of the Spanish version of the ACE tool for assessing competencies in evidence-based medicine in medical students.,2022-09-24
217,Interlinguistic conflict: Word-word Stroop with first and second language colour words.,2022-09-24
218,"""Hot"" executive functions are comparable across monolingual and bilingual elementary school children: Results from a study with the Iowa Gambling Task.",2022-09-24
219,Language switching may facilitate the processing of negative responses.,2022-09-24
220,Integrated Application of Low-Intensity Pulsed Ultrasound in Diagnosis and Treatment of Atrophied Skeletal Muscle Induced in Tail-Suspended Rats.,2022-09-24
221,Self-reported pain among Cambodian Americans with depression: patient-provider communication as an overlooked social determinant.,2022-09-23
222,Determinants of loss to follow-up in the Canadian Longitudinal Study on Aging: a retrospective cohort study.,2022-09-23
223,Culturally Competent Assessment of Neurocognitive Functioning in Latinos with Complex Multimorbidity: A Case Study.,2022-09-23
224,Characteristics of Cancer Hospitals with Written Language Access Policies.,2022-09-23
225,Presurgical language mapping in bilingual children using transcranial magnetic stimulation: illustrative case.,2022-09-23
226,Cognitive Advantage of Bilingualism Over Monolingualism in Older Adults: A Meta-Analysis.,2022-09-21
227,Bilingual teachers' translanguaging practices and ideologies in online classrooms in Saudi Arabia.,2022-09-20
228,The own-voice benefit for word recognition in early bilinguals.,2022-09-20
229,Perspectives on Spanish language concordant cancer genetic counseling sessions from the Spanish-speaking population.,2022-09-20
230,Transfer effects from language processing to visual attention dynamics: The impact of orthographic transparency.,2022-09-20
231,Why study bilingualism in autistic people?,2022-09-17
232,Exploring the Impact of Language Concordance on Cancer Communication.,2022-09-17
233,Mi Plan: Using a Pediatric-Based Community Health Worker Model to Facilitate Obtainment of Contraceptives Among Latino Immigrant Parents with Contraceptive Needs.,2022-09-14
234,Bidialectal and monodialectal differences in morphosyntactic processing of AAE and MAE: Evidence from ERPs and acceptability judgments.,2022-09-14
235,"Functional connectivity during orthographic, phonological, and semantic processing of Chinese characters identifies distinct visuospatial and phonosemantic networks.",2022-09-14
236,The temporal dynamics of bilingual language control.,2022-09-14
237,Effects of a Diabetes Prevention Program on Type 2 Diabetes Risk Factors and Quality of Life Among Latino Youths With Prediabetes: A Randomized Clinical Trial.,2022-09-13
238,Personal wellbeing among adolescents and youth in India.,2022-09-13
239,Barriers to access and utilization of healthcare services for minority-language speakers with neurodevelopmental disorders: A scoping review.,2022-09-13
240,Disentangling Language Disorder and Bilingualism in Children with Developmental Language Disorder and Autism Spectrum Disorder: Evidence from Writing.,2022-09-11
241,Parents' oral health promotion efforts for their children with Down syndrome and the children's oral health.,2022-09-11
242,"Prevalence norms for 40,777 Catalan words: An online megastudy of vocabulary size.",2022-09-11
243,Encoding category-level and context-specific phonological information at different stages: An EEG study of Mandarin third-tone sandhi word production.,2022-09-10
244,Contribution of oral narrative textual competence and spelling skills to written narrative textual competence in bilingual language-minority children and monolingual peers.,2022-09-10
245,Visual word recognition in bilinguals: Eye-tracking evidence that L2 proficiency impacts access of L1 phonotactics.,2022-09-10
246,Development of a cost of illness inventory questionnaire for children with autism spectrum disorder in South Asia.,2022-09-09
247,Gesture use in L1-Turkish and L2-English: Evidence from emotional narrative retellings.,2022-09-09
248,Regional adaptation of the education in palliative and end-of-life Care Pediatrics (EPEC-Pediatrics) curriculum in Eurasia.,2022-09-09
249,"Rapid COVID-19 Testing and On-site Case Investigation and Contact Tracing in an Underresourced Area of Salt Lake City, Utah, December 2020-April 2021.",2022-09-09
250,Assessing Proactive Language Control: Does Predictability of Language Sequences Benefit Language Switching?,2022-09-09
251,Masked Morphological Priming and Sensitivity to the Statistical Structure of Form-to-Meaning Mapping in L2.,2022-09-09
252,"Acceptability, feasibility, and ethics of saliva collection in community-based research with Mexican-origin mixed-status families during high immigration enforcement.",2022-09-06
253,Editorial: The role of experience in children's language development: A cultural perspective.,2022-09-06
254,Eliminating Data Duplication in CQA Platforms Using Deep Neural Model.,2022-09-06
255,Managing and Retrieving Bilingual Documents Using Artificial Intelligence-Based Ontological Framework.,2022-09-06
256,Polygenic risk scores and risk-stratified breast cancer screening: Familiarity and perspectives of health care professionals.,2022-09-05
257,Predictors of language proficiency in school-age Spanish-English bilingual children with and without developmental language disorder.,2022-09-03
258,"Bilingualism is always cognitively advantageous, but this doesn't mean what you think it means.",2022-09-03
259,"Clinician's commentary to accompany ""group well-child care model for Latino children in immigrant families: Adapting to and learning from the COVID-19 context"".",2022-09-02
260,Language-Fair Fast Mapping and Mutual Exclusivity Tasks for Mono- and Bilingual Preschoolers.,2022-09-01
261,Age-Related Differences of Mandarin Tone and Consonant Aspiration Perception in Babble Noise.,2022-09-01
262,Multi-label classification for biomedical literature: an overview of the BioCreative VII LitCovid Track for COVID-19 literature topic annotations.,2022-09-01
263,Training to Work with Interpreters in US School Psychology Graduate Programs.,2022-08-31
264,Cross-modal and cross-language activation in bilinguals reveals lexical competition even when words or signs are unheard or unseen.,2022-08-30
265,Number transcoding in bilinguals-A transversal developmental study.,2022-08-30
266,Improving neural machine translation with POS-tag features for low-resource language pairs.,2022-08-30
267,Mija.,2022-08-30
268,[A case of bilingual aphasia with language mixing between Japanese and English caused by superior longitudinal fasciculus lesion-a study using functional MRI and diffusion tensor imaging].,2022-08-29
269,Modelling representations in speech normalization of prosodic cues.,2022-08-28
270,Accreditation as a driver of interprofessional education: the Canadian experience.,2022-08-27
271,Auditory precision hypothesis-L2: Dimension-specific relationships between auditory processing and second language segmental learning.,2022-08-27
272,The Effects of Training Variability and Pitch Aptitude on the Overnight Consolidation of Lexical Tones.,2022-08-27
273,Does Dynamic Assessment Offer An Alternative Approach to Identifying Reading Disorder? A Systematic Review.,2022-08-27
274,Evaluating the Immediate Impact of Graphic Messages for Vaping Prevention among Black and Latino Adolescents: A Randomized Controlled Trial.,2022-08-27
275,Re-Examining Labels in Neurocognitive Research: Evidence from Bilingualism and Autism as Spectrum-Trait Cases.,2022-08-27
276,[Not Available].,2022-08-26
277,"Scoping the needs, roles and implementation of bilingual community navigators in general practice settings.",2022-08-26
